File,Field,Index,Speakers,Japanese,Speakers (E),English,comments
0005.dat,line,143,4 [ガラド],"せっかく俺が男を磨いてやったっていうのによ。
そりゃねぇぜ、シング",4 [Gall],"I’ve whipped you into shape, but yet you’ve done this Shing.",
0005.dat,line,147,0 [コハク],"なんだかよくわからないけど
残念だったね、シング",0 [Kohaku],"I don’t know what to say. Too bad, Shing.",
0005.dat,line,154,1 [シング],がぁぁぁ～～～ん！,1 [Shing],Ahhhhhh!!,
0005.dat,line,159,0 [コハク],"ん～？　変なシング。
ほら、ニンジンとキュウリと
ダイコンがあるけど、どれにする？",0 [Kohaku],"Hm? What’s gotten into you Shing? Here, carrots, cucumbers and daikons. Which one do you prefer?",
0005.dat,line,165,1 [シング],キュウリ……,1 [Shing],Cucumbers...,
0006.dat,speaker,0,,コハク,,Kohaku,
0006.dat,speaker,1,,シング,,Shing,
0006.dat,speaker,2,,カルセドニー,,Chalcedony,
0006.dat,speaker,3,,ガラド,,Gall,
0006.dat,speaker,4,,ベリル,,Beryl,
0006.dat,line,1,2 [カルセドニー],"コハクのスピルーンも残りあとひとつ。
それを取り戻せば元のコハクに戻るということか",2 [Chalcedony],"There’s only one of Kohaku’s Spiral Cores remaining。
After that we can return Kohaku back to normal.",
0006.dat,line,10,1 [シング],"うん。だからみんな、
もう少しだけ、力を貸して欲しい",1 [Shing],"Yeah. So everyone, I’d like it if you could help me out just a little longer.",
0006.dat,line,14,3 [ガラド],"なぁに水くせぇこと言ってんだ！
俺も羽の兄さんも、ハナからそのつもりだっての",3 [Gall],What are you talking about? Me ’n Wings have been planning to help since the start.,
0006.dat,line,18,4 [ベリル],"あと一つ……なんだよね。
ねぇねぇ、それじゃあさ、おっさん。
アレ使ってみない？",4 [Beryl],"Ah- what the- Hey hey old timer, you wanna try that out?",
0006.dat,line,24,3 [ガラド],アレって……、ああ、アレか？,3 [Gall],That? ... Oh you meant that.,
0006.dat,line,28,2 [カルセドニー],一体何の話だ？,2 [Chalcedony],What are you two scheming?,
0006.dat,line,32,3 [ガラド],"ああ、実はな…
こいつは、俺があちこち旅をしていたときに
見つけたものなんだが……",3 [Gall],"Well the truth is, I found this when I was out traveling.",
0006.dat,line,36,4 [ベリル],"クンツァイトによるとね、
それは擬似スピルーンって言う、
結晶界の遺産なんだって",4 [Beryl],"According to Kunzite, it’s called a synthetic Spira. It came from the Minerans.
",
0006.dat,line,40,2 [カルセドニー],結晶界の遺産だと？,2 [Chalcedony],From the Minerans?,
0006.dat,line,44,3 [ガラド],"こいつを手に持って、感情をこめると、
スピルーンとして機能するようになるらしい",3 [Gall],"You hold this in your hand and feel your emotions coming back, just like a real Spira Core.",
0006.dat,line,47,3 [ガラド],"ただこいつは、スピルーンの働きを
遊びながら学習する為の子どものオモチャだって
クンツァイトは言ってたがな",3 [Gall],But Kunzite also said that its merely a children’s toy for those to learn what Spira Cores are like.,
0006.dat,line,51,1 [シング],"そんな凄いものなのに、オモチャ扱いって……
一体なんでだろ？",1 [Shing],"Even though it sounds terrible, it really is suppose to be used like a toy. Why would you make something like that?",
0006.dat,line,55,4 [ベリル],"元々はオモチャでも、結晶界の遺産だよ！
ボク達には十分すぎるほどの効果が
あるかもしれないじゃないか",4 [Beryl],"It may just be a toy, but it it’s from the Minerans. Good enough for us right?",
0006.dat,line,58,3 [ガラド],"いや、後で詳しく聞いてみたら
色々理由があってだな――",3 [Gall],"No actually, I asked him more about it afterwards. There’s actually other reasons...",
0006.dat,line,61,4 [ベリル],貸して貸して！,4 [Beryl],Let me see!,
0006.dat,line,69,3 [ガラド],"あ！　おい！
……ったく…………",3 [Gall],H-hey! ... Ugh kids.,
0006.dat,line,75,4 [ベリル],"ぐふふ……。あれ……？
でも、コハクの最後のスピルーンって、
一体なんだろう…？",4 [Beryl],"Hehehe... Oh, but what about Kohakus final Spira Core? What emotion do you think it is?",
0006.dat,line,81,2 [カルセドニー],ふむ。…そういえば、何だろうな？,2 [Chalcedony],"Hm, what’s that?",
0006.dat,line,85,4 [ベリル],シング、なんだと思う？,4 [Beryl],"What do you think, Shing?",
0006.dat,line,89,1 [シング],え、オレ？,1 [Shing],Me?,
0006.dat,line,93,3 [ガラド],"ふむ……確かに。
ソーマリンクした仲だしな。
もちろん、わかるよなぁ、シング！",3 [Gall],It’s true... They do share a Soma Link.. So of course Shing would know!,
0006.dat,line,98,1 [シング],"え、えーっと……そ、そうだなぁ……
うーん……「好奇心」……とかかな！",1 [Shing],"Umm, well.. I think it’s her curiosity!",
0006.dat,line,107,2 [カルセドニー],"……なるほど。
確かに好奇心は人にとって、とても大切な感情だ",2 [Chalcedony],"... I see. Its true, curiosity is a very important emotion inside all of us.",
0006.dat,line,112,4 [ベリル],"よーし！　おーい、コハクー！
ちょっとこっちにおいでよぉ！",4 [Beryl],Got it! Hey! Kohaku! Over here!,
0006.dat,line,121,0 [コハク],どうしたの、ベリル？,0 [Kohaku],What is it?,
0006.dat,line,126,4 [ベリル],"好奇心、好奇心、好奇心…と…
とぉー！",4 [Beryl],"Curiosity, curiosity... ah!",
0006.dat,line,150,4 [ベリル],コハク……？,4 [Beryl],Kohaku?,
0006.dat,line,159,0 [コハク],"ああ、もう、耐えられない！
わたし、ずっと気になってたことがあるの！
だから、聞いちゃうよ！",0 [Kohaku],Ah I can’t stand it anymore! I got to say something so please listen to me.,
0006.dat,line,169,0 [コハク],"カルセドニーは、なんでおかっぱなの？
ベリルは、どうしてかぶりものが好きなの？
ガラドは、なんで髪が長いの!?",0 [Kohaku],"Chalcedony, why is your hair like that? Beryl, why do you like that hat so much? Gall, why is your hair so long?",
0006.dat,line,178,2 [カルセドニー],"この髪型は子どもの頃から
そうだったからな……。
特に、これといった理由は……",2 [Chalcedony],I’ve had this hairstyle since I was a child. And in particular the reason is...,
0006.dat,line,182,4 [ベリル],"ボクも気がついたら好きだったからなぁ。
改めて聞かれると、困るよ",4 [Beryl],"Cause I noticed it and liked it. If you asked me in particular why, I’d be stumped.",
0006.dat,line,186,3 [ガラド],"髪が長い理由ねぇ。
そいつを語るには、ちょいと時間が足りないぜ",3 [Gall],I don’t have enough time to sit down and explain why I grew my hair out.,
0006.dat,line,190,0 [コハク],"もう、みんな答えになってないよ。
ちゃんと答えて！",0 [Kohaku],"Ugh, you guys aren’t telling me nothing! Explain more!",
0006.dat,line,195,2 [カルセドニー],こ、これは一体……？,2 [Chalcedony],What in the...,
0006.dat,line,199,3 [ガラド],"こいつはな、スピルーンを
単純に取り込むだけじゃなく、
人格にも影響を与えちまうんだってよ",3 [Gall],"This Spira Core is not just giving her an emotion, it’s affecting her entire personality.",
0006.dat,line,202,3 [ガラド],ある程度時間が経てば、元に戻るらしいが,3 [Gall],"Over time, she should settle down.",
0006.dat,line,206,1 [シング],"び、びっくりしたー。あれ？
オレ、なにも聞かれてないけど……",1 [Shing],W-woah! Huh? Did I hear something just now?,
0006.dat,line,212,4 [ベリル],"ねぇ、コハク。シングには聞かないの？
ボクたちよりも気になることが
たくさんあるんじゃない？",4 [Beryl],"Hey hey Kohaku, why don’t you pester Shing? I’m sure you got more important questions to ask him than to us.",
0006.dat,line,216,0 [コハク],"え、えっと、その……
シングはいいかなって……",0 [Kohaku],Um.. well.. Shing I thought...,
0006.dat,line,220,3 [ガラド],おいおい、こりゃあまさか……,3 [Gall],"Wow, what’s with her.",
0006.dat,line,226,2 [カルセドニー],"メテオライト、とても言いづらいのだが……
おまえには、興味がないということではないか？",2 [Chalcedony],"Meteoryte, isn’t there some things you need to say.. or are you not interested?",
0006.dat,line,232,1 [シング],そ、そんなぁ～～～～!?,1 [Shing],I-it’s not like that!,
0006.dat,line,239,0 [コハク],"そ、そんなことないよ!!
わたし、シングのこともっといっぱい知りたい！",0 [Kohaku],It’s not! I-I want to know even more about Shing!,
0006.dat,line,243,0 [コハク],でも、聞くの恥ずかしいんだもん……,0 [Kohaku],But... I’m kinda embarrassed to hear it...,
0006.dat,line,247,1 [シング],恥ずかしい!?,1 [Shing],Embarrassed?!,
0006.dat,line,253,0 [コハク],"ああ、今のは違うの！
わ、忘れてぇ！",0 [Kohaku],"Yeah, it’s different this time! I just forgot why!",
0006.dat,line,265,4 [ベリル],"わー……
まーたふたりの世界が始まっちゃったよ……",4 [Beryl],"Well now, it looks like it’s the start of something between the two of them again.",
0006.dat,line,270,2 [カルセドニー],"と、とりあえず、
この空気をなんとか出来ないか？
妙な気恥ずかしさを覚える",2 [Chalcedony],"A-anyway, why don’t the two of you get some fresh air? You’ll remember why you feel embarrassed.",
0006.dat,line,274,3 [ガラド],"思念を集中すれば、一度中に入ってからでも
別の感情に変えることも可能らしいぜ？",3 [Gall],"Once they’re outside, if they can focus on their feelings, maybe it’s a good possibility they’ll change. ",
0006.dat,line,278,2 [カルセドニー],"なるほど。
では、一先ず当たり障りのないスピルーンに……
…はぁっ！",2 [Chalcedony],I see. Then let us give her the Spiral Core.,
0006.dat,line,299,0 [コハク],"みなさん、いつもわたしのために
体を張ってくださって、ありがとう",0 [Kohaku],"Everyone, thank you very much for looking out for me.",
0006.dat,line,302,0 [コハク],"わたしもみなさんのために
なにか出来たらよいのですが
あまり力になれなくて、ごめんなさい",0 [Kohaku],"If only I was able to do something for you all in return. I can’t be of much help in my current state, I apologize.",
0006.dat,line,306,2 [カルセドニー],"「気品」のスピルーンだ。
これなら特におかしなことにもなるまい",2 [Chalcedony],"It’s the shard of grace.
This one is making her act particularly strange.",
0006.dat,line,310,4 [ベリル],"うわわ、しおらしいコハクだ。
こういうの、なんだか新鮮だなぁ",4 [Beryl],"Oh wow, you’re so ladylike Kohaku. It’s a very clean look for you.",
0006.dat,line,313,2 [カルセドニー],パライバさまには遠いが、いい感じではないか,2 [Chalcedony],"Not as refined as Empress Paraiba, but it’s not bad.",
0006.dat,line,318,0 [コハク],"はっ!?　そうですわ、わたしったら
お茶も淹れずに立ち話なんて……。
今、用意しますね",0 [Kohaku],Oh I see! Then I shall brew some tea while we chat.,
0006.dat,line,323,0 [コハク],"お茶請けは……ミソづくしにしましょう！
きっと、あいますわ",0 [Kohaku],Then to go along with the tea... various flavors of miso! I’m sure it’ll work well.,
0006.dat,line,331,1 [シング],"おかしなことになってきたよ!?
カルセドニー!!",1 [Shing],W-what are you saying?! Chalcedony!!,
0006.dat,line,335,2 [カルセドニー],"な、なぜそこでミソになるのだ？
そこは女性が好みそうな、スコーンなり
ケーキなりがあるだろうに……",2 [Chalcedony],Why on earth is she suggesting miso? Do women not enjoy pairing tea with scone and cake?,Might replace scone with something else. Maybe I'm uncultured but I had no idea what it was until I googled it.
0006.dat,line,339,3 [ガラド],嬢ちゃんのミソ好きは、根っからってことかねぇ,3 [Gall],"She loves miso, so it’s in her nature.",
0006.dat,line,343,0 [コハク],"でしたら、ミソケーキと、
ミソスコーンに致しましょうか？",0 [Kohaku],The how about miso cake and miso scone?,
0006.dat,line,347,1 [シング],"何も解決していないよ！
とりあえず、ミソづくしから離れないと……！
何でもいいから！　えいっ！",1 [Shing],"We haven’t decided on anything yet. Anyway, we don’t need to seperate the miso, anything’s fine!",
0006.dat,line,368,0 [コハク],シ・ン・グ♪,0 [Kohaku],Shi・ng ♪,
0006.dat,line,373,1 [シング],え、え？　ど、どうしたの、コハク？,1 [Shing],Eh? W-what’s up Kohaku?,
0006.dat,line,377,0 [コハク],"ねぇ。
……一緒にあ、そ、ぼ……？",0 [Kohaku],"Hey, can we... play?",Given the context of the rest of the dialogue she might be saying something more scandalous but it could just be just plain old 遊ぶ
0006.dat,line,381,4 [ベリル],な、こ、これは……,4 [Beryl],What... is she...,
0006.dat,line,385,1 [シング],"い、いや！
とっさのことだったから、オレも何がなんだか！",1 [Shing],"N-no, it’s not what you’re thinking! It was spur of the moment!",
0006.dat,line,389,3 [ガラド],ふーむ。これはおそらく……,3 [Gall],"Hmph, sure you were.",
0006.dat,line,393,2 [カルセドニー],おそらく？,2 [Chalcedony],You’re sure?,
0006.dat,line,397,3 [ガラド],……お色気のスピルーンだな,3 [Gall],... it’s the sex appeal Spira Core.,There could probably be a better word in here for お色気 but oh well
0006.dat,line,402,4 [ベリル],な!?,4 [Beryl],Wha-?!,
0006.dat,line,408,2 [カルセドニー],"メ、メテオライト！　貴様！
そんな破廉恥なスピリアの持ち主だったとは！
見損なったぞ！",2 [Chalcedony],M-Meteoryte! I can’t believe you have such a shameless Spira! I misjudged you!,
0006.dat,line,412,1 [シング],"そ、そんな！
いや、さっきも言ったけど、とっさだから！
オレの意思じゃない！　事故だよこれは！",1 [Shing],"W-ait! Listen to me! This isn’t what I wanted, you got it all wrong!",
0006.dat,line,416,4 [ベリル],"とっさだから本心が出たんだろー！
このケダモノー！",4 [Beryl],"So that’s what you meant by spur of the moment, you animal!",
0006.dat,line,420,3 [ガラド],"まぁまぁ。シングを責めるなって。
若い男なら、仕方のないことだぜ",3 [Gall],"Now now. Don’t blame Shing. He’s just a guy, he can’t help it.",
0006.dat,line,424,0 [コハク],うふふ、シングったら……かわいい,0 [Kohaku],"Hehe, Shing you’re adorable.",
0006.dat,line,427,1 [シング],こ、コハク…………,1 [Shing],Ko... Kohaku...,
0006.dat,line,430,0 [コハク],ねぇ、シング、一緒に……遊ぼう……？,0 [Kohaku],"Hey, Shing. Do you.. want to play a game with me?",
0006.dat,line_speaker,434,,シング,,Shing,
0006.dat,line,434,,"（うう、でも、これはこれで……
　ちょっぴり……幸せかも……）",,"(Uhh, if this is what I think it is.. I might be getting excited here...)",
0006.dat,line,437,0 [コハク],一緒に……,0 [Kohaku],Together with me...,
0006.dat,line,442,0 [コハク],無限滅殺オニごっこしよう♪,0 [Kohaku],Let’s play an exciting game of tag♪,
0006.dat,line,448,1 [シング],やっぱり全然幸せじゃないかもーーーー！,1 [Shing],That’s not exciting at all!!,
0006.dat,line,459,0 [コハク],"つーかまーえたっ♪
無限！　滅！　殺！",0 [Kohaku],Here～ I～ go～ I’m! Gonna! Kick! Your! Ass!,Not what she says but it's funnier than just straight translating it and gets the general point across
0006.dat,line,462,1 [シング],ぎゃぁぁぁぁぁぁぁぁぁぁ！,1 [Shing],Ahhhh!,
0006.dat,line,482,1 [シング],や、やっと元に戻った……,1 [Shing],S-she’s back to normal..,
0006.dat,line,485,2 [カルセドニー],"どうやら遊び疲れたようだな。
眠ってしまった",2 [Chalcedony],She’s worn out from playing and knocked herself out.,
0006.dat,line,489,1 [シング],オレも、あやうく意識が飛びそうだったよ……,1 [Shing],I’m barely awake myself...,
0006.dat,line,493,4 [ベリル],"結局さ、コハクの最後のスピルーンは
なんなんだろうね？",4 [Beryl],"After all that, I wonder what Kohakus final Spira Core is going to be like?",
0006.dat,line,497,2 [カルセドニー],"「好奇心」「気品」「お色気」
どれもピンとこなかったな",2 [Chalcedony],"""Curiosity"", ""Grace"", ""Sex Appeal"".
I don’t really understand it all.",
0006.dat,line,501,1 [シング],"やっぱり、
ちゃんと探さないといけないってことなんだよ。
偽物なんかじゃダメなんだ",1 [Shing],I knew. We have to look for the proper ones. Fake stuff doesn’t cut it.,
0006.dat,line,505,4 [ベリル],"うーん。でも、ゲージュツカとしては、
わからないのはちょっと悔しいなぁ……
こういうのはさ、センスでピンと来ると思うし",4 [Beryl],"Not knowing it is leaving me frustrated. 
That kind of thing I think is about your sense of style.",
0006.dat,line,518,3 [ガラド],"ま、最後のスピルーンはきっと、
「愛」だろうが……",3 [Gall],"Well this is certainly the last Spiral Core, ""Love"".",
0006.dat,line,522,3 [ガラド],"ガキどもにはまだ良くわからねぇだろうし、
……年取ると、
ちっとこっぱずかしくて言えねぇやな",3 [Gall],"Kids don’t know anything about it. And when you grow old, you might say stuff that’s embarrassing",
0007.dat,speaker,0,,ガラド,,Gall,
0007.dat,line,0,0 [ガラド],"まぁ、なんだかんだで今回の件は
失敗に終っちまったみてぇだが…",0 [Gall],"Well, it looks like your efforts ended in failure.",I think all of these skits are ones directed at the player under certain conditions?
