"File","Field","Index","Speakers","Japanese","Speakers (E)","English","Sound file"
"0005.dat","line","99","0 [コハク]","す……？","0 [Kohaku]","Love?","NA_00_00_058"
"0005.dat","line_speaker","104","","シング","","Shing",""
"0005.dat","line","104","","（やっぱり、ダメだ…！）","","(Damn it!)","NA_00_00_059"
"0005.dat","line","109","1 [シング]","す、そう！
コハクの大好きなミソ
買ってきたから一緒に食べよう！","1 [Shing]","Y-yeah! I know you love miso, so I bought some
for us to eat!","NA_00_00_060"
"0005.dat","line","120","0 [コハク]","本当！？　やった！
ちょうどマイミソ切れたところだったの！
気が利くね、シング。ありがとう♪","0 [Kohaku]","R-really!? That would be amazing! I ran out of my
miso a little while ago. You’re so sweet, Shing!","NA_00_00_061"
"0005.dat","line_speaker","130","","三人","","Three of them",""
"0005.dat","line","130","2 [カルセドニー]
3 [ベリル]
4 [ガラド]","はぁ～…………","2 [Chalcedony]
3 [Beryl]
4 [Gall]","Ugh～","NA_00_00_062"
"0005.dat","line","137","3 [ベリル]","もー、ホントにシングってば、だらしないなぁ","3 [Beryl]","Really Shing? You’re such a loser.","NA_00_00_063"
"0005.dat","line","140","2 [カルセドニー]","メテオライト、おまえには失望したぞ。
ここまで来て、スピリアが定まらんとは","2 [Chalcedony]","You’ve disappointed me, Meteoryte. You’ve come
this far, yet your Spiria is still lacking.","NA_00_00_064"
"0005.dat","line","143","4 [ガラド]","せっかく俺が男を磨いてやったっていうのによ。
そりゃねぇぜ、シング","4 [Gall]","I’ve gone out of my way to cultivate your 
manliness, but you just had to go and
blow it, Shing.","NA_00_00_065"
"0005.dat","line","147","0 [コハク]","なんだかよくわからないけど
残念だったね、シング","0 [Kohaku]","I’m not sure what everyone’s going on about,
but too bad, Shing.","NA_00_00_066"
"0005.dat","line","154","1 [シング]","がぁぁぁ～～～ん！","1 [Shing]","Ahhhhhh!!","NA_00_00_067"
"0005.dat","line","159","0 [コハク]","ん～？　変なシング。
ほら、ニンジンとキュウリと
ダイコンがあるけど、どれにする？","0 [Kohaku]","Hm? What’s gotten into you Shing? Here, 
I’ve got carrots, cucumbers, and daikons. 
What would you like?","NA_00_00_068"
"0005.dat","line","165","1 [シング]","キュウリ……","1 [Shing]","Cucumbers...","NA_00_00_069"
"0006.dat","speaker","0","","コハク","","Kohaku",""
"0006.dat","speaker","1","","シング","","Shing",""
"0006.dat","speaker","2","","カルセドニー","","Chalcedony",""
"0006.dat","speaker","3","","ガラド","","Gall",""
"0006.dat","speaker","4","","ベリル","","Beryl",""
"0006.dat","line","1","2 [カルセドニー]","コハクのスピルーンも残りあとひとつ。
それを取り戻せば元のコハクに戻るということか","2 [Chalcedony]","There’s only one of Kohaku’s Spiria Core
shards remaining. After that, Kohaku will 
be back to normal.","NA_00_01_000"
"0006.dat","line","10","1 [シング]","うん。だからみんな、
もう少しだけ、力を貸して欲しい","1 [Shing]","Yeah. So everyone, I’d like it if you could help
me out just a little longer.","NA_00_01_001"
"0006.dat","line","14","3 [ガラド]","なぁに水くせぇこと言ってんだ！
俺も羽の兄さんも、ハナからそのつもりだっての","3 [Gall]","What are you talking about? Me ’n Wings have 
been planning on seeing this through from 
the start.","NA_00_01_002"
"0006.dat","line","18","4 [ベリル]","あと一つ……なんだよね。
ねぇねぇ、それじゃあさ、おっさん。
アレ使ってみない？","4 [Beryl]","Ah- what the- Hey hey old timer, you wanna 
try that out?","NA_00_01_003"
"0006.dat","line","24","3 [ガラド]","アレって……、ああ、アレか？","3 [Gall]","That? ...Oh, you mean that.","NA_00_01_004"
"0006.dat","line","28","2 [カルセドニー]","一体何の話だ？","2 [Chalcedony]","What are you two talking about?","NA_00_01_005"
"0006.dat","line","32","3 [ガラド]","ああ、実はな…
こいつは、俺があちこち旅をしていたときに
見つけたものなんだが……","3 [Gall]","Well the truth is, I found this during my travels.","NA_00_01_006"
"0006.dat","line","36","4 [ベリル]","クンツァイトによるとね、
それは擬似スピルーンって言う、
結晶界の遺産なんだって","4 [Beryl]","According to Kunzite, it’s called a synthetic
Spiria Core. It was a relic of the Minerans.
","NA_00_01_007"
"0006.dat","line","40","2 [カルセドニー]","結晶界の遺産だと？","2 [Chalcedony]","A relic of the Minerans?","NA_00_01_008"
"0006.dat","line","44","3 [ガラド]","こいつを手に持って、感情をこめると、
スピルーンとして機能するようになるらしい","3 [Gall]","If you hold it in your hands, your emotions will 
flow into it, just like a real Spiria Core.","NA_00_01_009"
"0006.dat","line","47","3 [ガラド]","ただこいつは、スピルーンの働きを
遊びながら学習する為の子どものオモチャだって
クンツァイトは言ってたがな","3 [Gall]","But Kunzite also said that its merely a children’s
toy for those to learn what Spiria Cores are like.","NA_00_01_010"
"0006.dat","line","51","1 [シング]","そんな凄いものなのに、オモチャ扱いって……
一体なんでだろ？","1 [Shing]","That sounds pretty intense for something that’s 
meant to be a toy. Why would they make 
something like that?","NA_00_01_011"
"0006.dat","line","55","4 [ベリル]","元々はオモチャでも、結晶界の遺産だよ！
ボク達には十分すぎるほどの効果が
あるかもしれないじゃないか","4 [Beryl]","It may just be a toy, but it’s a Mineran relic.
Good enough for us, right?","NA_00_01_012"
"0006.dat","line","58","3 [ガラド]","いや、後で詳しく聞いてみたら
色々理由があってだな――","3 [Gall]","No actually, when I asked him for more details,
he said it had other uses...","NA_00_01_013"
"0006.dat","line","61","4 [ベリル]","貸して貸して！","4 [Beryl]","Let me see!","NA_00_01_014"
"0006.dat","line","69","3 [ガラド]","あ！　おい！
……ったく…………","3 [Gall]","H-hey! ... Ugh, kids.","NA_00_01_015"
"0006.dat","line","75","4 [ベリル]","ぐふふ……。あれ……？
でも、コハクの最後のスピルーンって、
一体なんだろう…？","4 [Beryl]","Hehehe... Oh, thinking about Kohaku’s last 
Spiria Core shard, what emotion do you think 
it is?","NA_00_01_016"
"0006.dat","line","81","2 [カルセドニー]","ふむ。…そういえば、何だろうな？","2 [Chalcedony]","Hm, I wonder what it would be?","NA_00_01_017"
"0006.dat","line","85","4 [ベリル]","シング、なんだと思う？","4 [Beryl]","What do you think, Shing?","NA_00_01_018"
"0006.dat","line","89","1 [シング]","え、オレ？","1 [Shing]","Me?","NA_00_01_019"
"0006.dat","line","93","3 [ガラド]","ふむ……確かに。
ソーマリンクした仲だしな。
もちろん、わかるよなぁ、シング！","3 [Gall]","Well... They do share a Soma Link, so Shing 
has to know!","NA_00_01_020"
"0006.dat","line","98","1 [シング]","え、えーっと……そ、そうだなぁ……
うーん……「好奇心」……とかかな！","1 [Shing]","Umm, well... I think it’s her curiosity!","NA_00_01_021"
"0006.dat","line","107","2 [カルセドニー]","……なるほど。
確かに好奇心は人にとって、とても大切な感情だ","2 [Chalcedony]","...I see. It’s true, curiosity is a very important 
emotion for one to have.","NA_00_01_022"
"0006.dat","line","112","4 [ベリル]","よーし！　おーい、コハクー！
ちょっとこっちにおいでよぉ！","4 [Beryl]","Got it! Hey! Kohaku! Over here!","NA_00_01_023"
"0006.dat","line","121","0 [コハク]","どうしたの、ベリル？","0 [Kohaku]","What is it?","NA_00_01_024"
"0006.dat","line","126","4 [ベリル]","好奇心、好奇心、好奇心…と…
とぉー！","4 [Beryl]","Curiosity, curiosity... ah!","NA_00_01_025"
"0006.dat","line","150","4 [ベリル]","コハク……？","4 [Beryl]","Kohaku?","NA_00_01_026"
"0006.dat","line","159","0 [コハク]","ああ、もう、耐えられない！
わたし、ずっと気になってたことがあるの！
だから、聞いちゃうよ！","0 [Kohaku]","Ah, I can’t stand it anymore! This has been 
bothering me since forever, so please, hear 
me out!","NA_00_01_027"
"0006.dat","line","169","0 [コハク]","カルセドニーは、なんでおかっぱなの？
ベリルは、どうしてかぶりものが好きなの？
ガラドは、なんで髪が長いの!?","0 [Kohaku]","Chalcedony, what’s with the bowl cut? Beryl, 
why do you like that hat so much? Gall, why 
is your hair so long?","NA_00_01_028"
"0006.dat","line","178","2 [カルセドニー]","この髪型は子どもの頃から
そうだったからな……。
特に、これといった理由は……","2 [Chalcedony]","I’ve had this hairstyle since I was a child. 
Now if you’re asking why it’s still like that, 
well...","NA_00_01_029"
"0006.dat","line","182","4 [ベリル]","ボクも気がついたら好きだったからなぁ。
改めて聞かれると、困るよ","4 [Beryl]","Cause it caught my eye and I liked it. Now, 
don’t ask me twice.","NA_00_01_030"
"0006.dat","line","186","3 [ガラド]","髪が長い理由ねぇ。
そいつを語るには、ちょいと時間が足りないぜ","3 [Gall]","I don’t have the time to sit down and explain 
why I grew my hair out.","NA_00_01_031"
"0006.dat","line","190","0 [コハク]","もう、みんな答えになってないよ。
ちゃんと答えて！","0 [Kohaku]","Ugh, you’re all dodging my questions! I need 
answers!","NA_00_01_032"
"0006.dat","line","195","2 [カルセドニー]","こ、これは一体……？","2 [Chalcedony]","What in the...","NA_00_01_033"
"0006.dat","line","199","3 [ガラド]","こいつはな、スピルーンを
単純に取り込むだけじゃなく、
人格にも影響を与えちまうんだってよ","3 [Gall]","This Spiria Core isn’t just giving her an emotion, 
it’s warping her entire personality around it!","NA_00_01_034"
"0006.dat","line","202","3 [ガラド]","ある程度時間が経てば、元に戻るらしいが","3 [Gall]","It should wear off in a moment.","NA_00_01_035"
"0006.dat","line","206","1 [シング]","び、びっくりしたー。あれ？
オレ、なにも聞かれてないけど……","1 [Shing]","W-woah! Huh? Did I hear something just now?","NA_00_01_036"
"0006.dat","line","212","4 [ベリル]","ねぇ、コハク。シングには聞かないの？
ボクたちよりも気になることが
たくさんあるんじゃない？","4 [Beryl]","Hey Kohaku, why don’t you go pester Shing? 
I’m sure he’s more interesting to you than we are.","NA_00_01_037"
"0006.dat","line","216","0 [コハク]","え、えっと、その……
シングはいいかなって……","0 [Kohaku]","Um... well... I’m good on asking Shing...","NA_00_01_038"
"0006.dat","line","220","3 [ガラド]","おいおい、こりゃあまさか……","3 [Gall]","Hey, does that mean...","NA_00_01_039"
"0006.dat","line","226","2 [カルセドニー]","メテオライト、とても言いづらいのだが……
おまえには、興味がないということではないか？","2 [Chalcedony]","Meteoryte, I don’t mean to be the bringer of 
bad news, but maybe she’s just not into you?","NA_00_01_040"
"0006.dat","line","232","1 [シング]","そ、そんなぁ～～～～!?","1 [Shing]","W-Whaaat?","NA_00_01_041"
"0006.dat","line","239","0 [コハク]","そ、そんなことないよ!!
わたし、シングのこともっといっぱい知りたい！","0 [Kohaku]","It-It’s not like that! I-I want to know even more
about Shing!","NA_00_01_042"
"0006.dat","line","243","0 [コハク]","でも、聞くの恥ずかしいんだもん……","0 [Kohaku]","But... It’d be awkward...","NA_00_01_043"
"0006.dat","line","247","1 [シング]","恥ずかしい!?","1 [Shing]","Awkward?!","NA_00_01_044"
"0006.dat","line","253","0 [コハク]","ああ、今のは違うの！
わ、忘れてぇ！","0 [Kohaku]","Well, now’s not the time! J-just forget about it!","NA_00_01_045"
"0006.dat","line","265","4 [ベリル]","わー……
まーたふたりの世界が始まっちゃったよ……","4 [Beryl]","Well now, it looks like it’s the start of something 
between the two of them again.","NA_00_01_046"
"0006.dat","line","270","2 [カルセドニー]","と、とりあえず、
この空気をなんとか出来ないか？
妙な気恥ずかしさを覚える","2 [Chalcedony]","A-anyway, maybe we should do something 
about the mood here? I’m feeling secondhand 
embarrassment.","NA_00_01_047"
"0006.dat","line","274","3 [ガラド]","思念を集中すれば、一度中に入ってからでも
別の感情に変えることも可能らしいぜ？","3 [Gall]","It seems as though even after it’s been filled 
with an emotion, by channelling one’s Will 
you can override it with another.","NA_00_01_048"
"0006.dat","line","278","2 [カルセドニー]","なるほど。
では、一先ず当たり障りのないスピルーンに……
…はぁっ！","2 [Chalcedony]","I see. Well, I’ll make this into the most inoffensive 
Spiria Core... Haaaah!","NA_00_01_049"
"0006.dat","line","299","0 [コハク]","みなさん、いつもわたしのために
体を張ってくださって、ありがとう","0 [Kohaku]","Everyone, thank you so very much for looking 
out for me.","NA_00_01_050"
"0006.dat","line","302","0 [コハク]","わたしもみなさんのために
なにか出来たらよいのですが
あまり力になれなくて、ごめんなさい","0 [Kohaku]","If only I was able to do something for you all 
in return. I can’t be of much help in my current 
state, I apologize.","NA_00_01_051"
"0006.dat","line","306","2 [カルセドニー]","「気品」のスピルーンだ。
これなら特におかしなことにもなるまい","2 [Chalcedony]","It’s a shard of grace. It should put a stop to her 
odd behavior.","NA_00_01_052"
"0006.dat","line","310","4 [ベリル]","うわわ、しおらしいコハクだ。
こういうの、なんだか新鮮だなぁ","4 [Beryl]","Oh wow, you’re so ladylike, Kohaku. It’s a very 
clean look for you.","NA_00_01_053"
"0006.dat","line","313","2 [カルセドニー]","パライバさまには遠いが、いい感じではないか","2 [Chalcedony]","Not as refined as Empress Paraiba, but it’s 
not bad.","NA_00_01_054"
"0006.dat","line","318","0 [コハク]","はっ!?　そうですわ、わたしったら
お茶も淹れずに立ち話なんて……。
今、用意しますね","0 [Kohaku]","Oh! How could I have you standing and talking 
without having brewed you any tea... I shall go 
prepare some for us.","NA_00_01_055"
"0006.dat","line","323","0 [コハク]","お茶請けは……ミソづくしにしましょう！
きっと、あいますわ","0 [Kohaku]","And to go along with the tea... various types 
of miso! I’m sure the flavors shall pair together 
splendidly.","NA_00_01_056"
"0006.dat","line","331","1 [シング]","おかしなことになってきたよ!?
カルセドニー!!","1 [Shing]","She’s turned into an oddball?! Chalcedony!!","NA_00_01_057"
"0006.dat","line","335","2 [カルセドニー]","な、なぜそこでミソになるのだ？
そこは女性が好みそうな、スコーンなり
ケーキなりがあるだろうに……","2 [Chalcedony]","Why on earth is she suggesting miso? Don’t 
women prefer scones or cake to go along with 
their tea?","NA_00_01_058"
"0006.dat","line","339","3 [ガラド]","嬢ちゃんのミソ好きは、根っからってことかねぇ","3 [Gall]","I guess it’s in her nature to love miso.","NA_00_01_059"
"0006.dat","line","343","0 [コハク]","でしたら、ミソケーキと、
ミソスコーンに致しましょうか？","0 [Kohaku]","Then how about miso cake and miso scones?","NA_00_01_060"
"0006.dat","line","347","1 [シング]","何も解決していないよ！
とりあえず、ミソづくしから離れないと……！
何でもいいから！　えいっ！","1 [Shing]","I don’t want any of that! How about we talk about 
something other than miso! Anything else is fine! 
Here!","NA_00_01_061"
"0006.dat","line","368","0 [コハク]","シ・ン・グ♪","0 [Kohaku]","Shi～ng ♪","NA_00_01_062"
"0006.dat","line","373","1 [シング]","え、え？　ど、どうしたの、コハク？","1 [Shing]","Eh? W-what’s up Kohaku?","NA_00_01_063"
"0006.dat","line","377","0 [コハク]","ねぇ。
……一緒にあ、そ、ぼ……？","0 [Kohaku]","Hey, do you wanna... have some fun?","NA_00_01_064"
"0006.dat","line","381","4 [ベリル]","な、こ、これは……","4 [Beryl]","What... is she...","NA_00_01_065"
"0006.dat","line","385","1 [シング]","い、いや！
とっさのことだったから、オレも何がなんだか！","1 [Shing]","N-no, it’s not what you’re thinking! I needed 
something fast, so I just did whatever!","NA_00_01_066"
"0006.dat","line","389","3 [ガラド]","ふーむ。これはおそらく……","3 [Gall]","Hmph... I know what this is...","NA_00_01_067"
"0006.dat","line","393","2 [カルセドニー]","おそらく？","2 [Chalcedony]","You do?","NA_00_01_068"
"0006.dat","line","397","3 [ガラド]","……お色気のスピルーンだな","3 [Gall]","...It’s a shard of Horniness.","NA_00_01_069"
"0006.dat","line","402","4 [ベリル]","な!?","4 [Beryl]","Wha-?!","NA_00_01_070"
"0006.dat","line","408","2 [カルセドニー]","メ、メテオライト！　貴様！
そんな破廉恥なスピリアの持ち主だったとは！
見損なったぞ！","2 [Chalcedony]","M-Meteoryte! I can’t believe you have such a 
shameless Spiria! I thought too highly of you!","NA_00_01_071"
"0006.dat","line","412","1 [シング]","そ、そんな！
いや、さっきも言ったけど、とっさだから！
オレの意思じゃない！　事故だよこれは！","1 [Shing]","Wait! Listen to me! I told you it was a spur of 
the moment thing! I didn’t want this to happen! 
It was an accident!","NA_00_01_072"
